DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_antagonistic,$RhoC_antagonistic,perb,exp_name,delta,phenotype
0.5003990000000001,0.4982,0.367712,0.7517370000000001,0.5098000000000001,10.0,2.0,WT,Competition_Landscape,0.3840250000000001,Hyper
0.49639900000000015,0.4866000000000001,0.399326,0.6896810000000001,0.4947990000000001,10.0,3.0,WT,Competition_Landscape,0.2903550000000001,Hyper
0.501199,0.5147980000000001,0.423484,0.6645939999999999,0.5029990000000001,10.0,4.0,WT,Competition_Landscape,0.24110999999999988,Normal
0.5034,0.498199,0.441323,0.6368170000000001,0.503199,10.0,5.0,WT,Competition_Landscape,0.19549400000000006,Normal
0.499801,0.49720000000000003,0.46246,0.612091,0.5049999999999999,10.0,6.0,WT,Competition_Landscape,0.14963100000000007,Normal
0.5013979999999999,0.500599,0.48680899999999994,0.584511,0.5069990000000001,10.0,7.0,WT,Competition_Landscape,0.09770200000000007,Normal
0.506202,0.510401,0.503853,0.55483,0.494602,10.0,8.0,WT,Competition_Landscape,0.05097700000000005,Normal
0.501,0.507601,0.514111,0.5431919999999999,0.500202,10.0,9.0,WT,Competition_Landscape,0.029080999999999912,Normal
0.49420200000000003,0.49560000000000004,0.51889,0.5369710000000001,0.514198,10.0,10.0,WT,Competition_Landscape,0.018081000000000125,Normal
0.5062000000000001,0.5019990000000001,0.5446110000000001,0.504661,0.493199,10.0,11.0,WT,Competition_Landscape,-0.03995000000000004,Normal
0.49659899999999996,0.5052,0.538781,0.5039210000000001,0.500199,10.0,12.0,WT,Competition_Landscape,-0.03485999999999989,Normal
0.504999,0.5026,0.564908,0.4773639999999999,0.5028,10.0,13.0,WT,Competition_Landscape,-0.08754400000000007,Normal
0.4976009999999999,0.49060099999999995,0.5639879999999999,0.472455,0.48799999999999993,10.0,14.0,WT,Competition_Landscape,-0.09153299999999992,Normal
0.4854,0.49580099999999994,0.300709,0.8077560000000001,0.4976,11.0,1.0,WT,Competition_Landscape,0.5070470000000001,Hyper
0.485,0.491401,0.34633200000000003,0.757589,0.5124009999999999,11.0,2.0,WT,Competition_Landscape,0.41125699999999993,Hyper
0.492598,0.495599,0.37245399999999995,0.7144950000000001,0.5064,11.0,3.0,WT,Competition_Landscape,0.34204100000000015,Hyper
0.48580199999999996,0.509001,0.403189,0.67888,0.5036010000000001,11.0,4.0,WT,Competition_Landscape,0.275691,Hyper
0.504199,0.49679999999999996,0.41365599999999997,0.657726,0.523001,11.0,5.0,WT,Competition_Landscape,0.24407000000000006,Normal
0.503001,0.48640100000000003,0.45587,0.603928,0.498,11.0,6.0,WT,Competition_Landscape,0.14805800000000002,Normal
0.508798,0.49999899999999997,0.46410199999999996,0.597203,0.5046,11.0,7.0,WT,Competition_Landscape,0.13310100000000008,Normal
0.5110009999999999,0.5074010000000001,0.488496,0.5744819999999999,0.509801,11.0,8.0,WT,Competition_Landscape,0.08598599999999995,Normal
0.4982,0.500201,0.484637,0.564193,0.5018020000000001,11.0,9.0,WT,Competition_Landscape,0.07955599999999996,Normal
0.5161990000000001,0.49339700000000003,0.519795,0.520597,0.4812,11.0,10.0,WT,Competition_Landscape,0.0008019999999999694,Normal
0.48680100000000004,0.5090009999999999,0.5083730000000001,0.527442,0.510599,11.0,11.0,WT,Competition_Landscape,0.01906899999999989,Normal
0.5138,0.489799,0.534204,0.5066390000000001,0.49360200000000004,11.0,12.0,WT,Competition_Landscape,-0.02756499999999995,Normal
0.500598,0.495199,0.5494519999999999,0.48539000000000004,0.5004,11.0,13.0,WT,Competition_Landscape,-0.0640619999999999,Normal
0.507,0.4992,0.5459710000000001,0.49011799999999994,0.507599,11.0,14.0,WT,Competition_Landscape,-0.05585300000000015,Normal
0.505199,0.509201,0.29445899999999997,0.8150510000000001,0.49179799999999996,12.0,1.0,WT,Competition_Landscape,0.5205920000000002,Hyper
0.5115999999999999,0.502799,0.33719699999999997,0.755124,0.500801,12.0,2.0,WT,Competition_Landscape,0.41792700000000005,Hyper
0.5006,0.497398,0.365305,0.71476,0.5043989999999999,12.0,3.0,WT,Competition_Landscape,0.34945499999999996,Hyper
0.4946,0.5,0.393211,0.6768320000000001,0.501598,12.0,4.0,WT,Competition_Landscape,0.2836210000000001,Hyper
0.496401,0.5115999999999999,0.420763,0.6459489999999999,0.500001,12.0,5.0,WT,Competition_Landscape,0.2251859999999999,Normal
0.49579900000000005,0.49679999999999996,0.4421690000000001,0.6228819999999999,0.5058,12.0,6.0,WT,Competition_Landscape,0.18071299999999985,Normal
0.49520200000000003,0.499601,0.446224,0.6121690000000001,0.5004000000000001,12.0,7.0,WT,Competition_Landscape,0.16594500000000006,Normal
0.5104,0.513001,0.467116,0.582947,0.509201,12.0,8.0,WT,Competition_Landscape,0.11583100000000002,Normal
0.498998,0.5028,0.47813400000000006,0.559943,0.5018,12.0,9.0,WT,Competition_Landscape,0.08180899999999991,Normal
0.5015989999999999,0.5,0.49533400000000005,0.5504720000000001,0.49279999999999996,12.0,10.0,WT,Competition_Landscape,0.05513800000000002,Normal
0.5110020000000001,0.49740300000000004,0.505479,0.5369740000000002,0.49220300000000006,12.0,11.0,WT,Competition_Landscape,0.03149500000000016,Normal
0.49380000000000007,0.49780100000000005,0.511586,0.532639,0.514402,12.0,12.0,WT,Competition_Landscape,0.02105299999999999,Normal
0.4991999999999999,0.503201,0.5358989999999999,0.496117,0.49819899999999995,12.0,13.0,WT,Competition_Landscape,-0.03978199999999993,Normal
0.49539999999999995,0.506201,0.53677,0.49261200000000005,0.48660000000000003,12.0,14.0,WT,Competition_Landscape,-0.04415799999999992,Normal
0.502999,0.502201,0.29316100000000006,0.814902,0.496002,13.0,1.0,WT,Competition_Landscape,0.521741,Hyper
0.5032,0.49520099999999995,0.324254,0.7673530000000001,0.505401,13.0,2.0,WT,Competition_Landscape,0.4430990000000001,Hyper
0.494,0.49599999999999994,0.352059,0.726934,0.4977980000000001,13.0,3.0,WT,Competition_Landscape,0.37487499999999996,Hyper
0.5048009999999999,0.491202,0.384729,0.6789259999999999,0.499802,13.0,4.0,WT,Competition_Landscape,0.29419699999999993,Hyper
0.487401,0.509199,0.398336,0.652194,0.493199,13.0,5.0,WT,Competition_Landscape,0.25385800000000003,Hyper
0.505399,0.5031990000000001,0.42594200000000004,0.630286,0.5026,13.0,6.0,WT,Competition_Landscape,0.20434399999999997,Normal
0.493399,0.5057980000000001,0.439488,0.614014,0.49459999999999993,13.0,7.0,WT,Competition_Landscape,0.17452599999999996,Normal
0.5008009999999999,0.48879999999999996,0.45413799999999993,0.586229,0.4934009999999999,13.0,8.0,WT,Competition_Landscape,0.13209100000000007,Normal
0.5012,0.5004,0.473706,0.5623230000000001,0.4942009999999999,13.0,9.0,WT,Competition_Landscape,0.08861700000000011,Normal
0.4878,0.49939799999999995,0.47055400000000003,0.56362,0.501599,13.0,10.0,WT,Competition_Landscape,0.09306599999999998,Normal
0.501399,0.497199,0.496427,0.542346,0.511,13.0,11.0,WT,Competition_Landscape,0.04591899999999999,Normal
0.502201,0.49820200000000003,0.49268899999999993,0.540442,0.501599,13.0,12.0,WT,Competition_Landscape,0.047753000000000045,Normal
0.493199,0.49340100000000003,0.516277,0.507416,0.500599,13.0,13.0,WT,Competition_Landscape,-0.008861000000000008,Normal
0.49279699999999993,0.500598,0.511747,0.510587,0.49479799999999996,13.0,14.0,WT,Competition_Landscape,-0.0011599999999999389,Normal
0.49779999999999996,0.49560200000000004,0.27808900000000003,0.821704,0.5058020000000001,14.0,1.0,WT,Competition_Landscape,0.543615,Hyper
0.483401,0.500401,0.311409,0.7635739999999999,0.492801,14.0,2.0,WT,Competition_Landscape,0.4521649999999999,Hyper
0.5032,0.506201,0.34126500000000004,0.724473,0.49560000000000004,14.0,3.0,WT,Competition_Landscape,0.383208,Hyper
0.49779999999999996,0.500001,0.36737,0.69094,0.508802,14.0,4.0,WT,Competition_Landscape,0.32357,Hyper
0.4938020000000001,0.5028,0.39708999999999994,0.65864,0.5036020000000001,14.0,5.0,WT,Competition_Landscape,0.26155000000000006,Hyper
0.49860099999999996,0.5056010000000001,0.4055830000000001,0.6417959999999999,0.5016010000000001,14.0,6.0,WT,Competition_Landscape,0.23621299999999984,Normal
0.503,0.4912000000000001,0.428638,0.618715,0.5102010000000002,14.0,7.0,WT,Competition_Landscape,0.190077,Normal
0.5014000000000001,0.4996,0.45083,0.596525,0.496599,14.0,8.0,WT,Competition_Landscape,0.14569499999999996,Normal
0.502401,0.49759999999999993,0.453203,0.579748,0.501398,14.0,9.0,WT,Competition_Landscape,0.12654500000000002,Normal
0.49339900000000003,0.487599,0.458828,0.5728070000000001,0.49619900000000006,14.0,10.0,WT,Competition_Landscape,0.11397900000000005,Normal
0.4976,0.5081990000000001,0.496106,0.5342640000000001,0.49879799999999996,14.0,11.0,WT,Competition_Landscape,0.03815800000000008,Normal
0.506398,0.498397,0.49225,0.535045,0.506199,14.0,12.0,WT,Competition_Landscape,0.04279499999999997,Normal
0.4934,0.4978,0.493838,0.533269,0.509,14.0,13.0,WT,Competition_Landscape,0.039430999999999994,Normal
0.5005999999999999,0.48860000000000003,0.5058769999999999,0.517687,0.505001,14.0,14.0,WT,Competition_Landscape,0.011810000000000098,Normal
