DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_amp,$RhoA_antagonistic,perb,exp_name,delta,phenotype
0.5095999999999999,0.49959799999999993,0.48379,0.663829,0.501,50.0,8.0,WT,Escape_Threshold_RhoA,0.180039,Normal
0.5012,0.501201,0.47118499999999996,0.6609669999999999,0.49680100000000005,50.0,9.0,WT,Escape_Threshold_RhoA,0.1897819999999999,Normal
0.493399,0.504799,0.45090300000000005,0.6844029999999999,0.505799,50.0,10.0,WT,Escape_Threshold_RhoA,0.23349999999999982,Normal
0.49939999999999996,0.5028,0.438188,0.6872439999999999,0.5045999999999999,50.0,11.0,WT,Escape_Threshold_RhoA,0.24905599999999983,Normal
0.4954,0.4998010000000001,0.42732400000000004,0.693196,0.505201,50.0,12.0,WT,Escape_Threshold_RhoA,0.265872,Hyper
0.4994,0.505401,0.408396,0.706714,0.5045999999999999,50.0,13.0,WT,Escape_Threshold_RhoA,0.29831799999999997,Hyper
0.48979900000000004,0.49859899999999996,0.3953899999999999,0.71768,0.5109980000000001,50.0,14.0,WT,Escape_Threshold_RhoA,0.3222900000000001,Hyper
0.518002,0.5050020000000001,0.770328,0.515058,0.496601,55.0,1.0,WT,Escape_Threshold_RhoA,-0.25527,Failed
0.493401,0.49600099999999997,0.6691320000000001,0.56941,0.499999,55.0,2.0,WT,Escape_Threshold_RhoA,-0.09972200000000009,Normal
0.5093990000000002,0.5060000000000001,0.627581,0.5887560000000002,0.5080009999999999,55.0,3.0,WT,Escape_Threshold_RhoA,-0.03882499999999989,Normal
0.5152,0.503001,0.588039,0.605117,0.509799,55.0,4.0,WT,Escape_Threshold_RhoA,0.017078000000000038,Normal
0.4918,0.494601,0.5284,0.6386100000000001,0.5012,55.0,5.0,WT,Escape_Threshold_RhoA,0.11021000000000014,Normal
0.494201,0.501001,0.520457,0.6388959999999999,0.488602,55.0,6.0,WT,Escape_Threshold_RhoA,0.11843899999999996,Normal
0.498001,0.5032,0.49603900000000006,0.6581520000000001,0.498601,55.0,7.0,WT,Escape_Threshold_RhoA,0.162113,Normal
0.501797,0.495999,0.480744,0.6608769999999999,0.499198,55.0,8.0,WT,Escape_Threshold_RhoA,0.18013299999999993,Normal
0.500002,0.506201,0.46418800000000005,0.667853,0.496001,55.0,9.0,WT,Escape_Threshold_RhoA,0.20366499999999998,Normal
0.499002,0.4952,0.449971,0.680591,0.513001,55.0,10.0,WT,Escape_Threshold_RhoA,0.23061999999999994,Normal
0.5051990000000001,0.5020000000000001,0.44450900000000004,0.6884520000000001,0.4941990000000001,55.0,11.0,WT,Escape_Threshold_RhoA,0.24394300000000002,Normal
