DSP,JCAD,RhoA,RhoC,TJP1,$RhoC_amp,$RhoC_antagonistic,perb,exp_name,delta,phenotype
,0.503801,0.3097,0.807128,0.511801,10.0,1.0,DSP,Escape_Threshold_RhoC,0.497428,Hyper
,0.49420000000000003,0.356068,0.7321,0.499599,10.0,2.0,DSP,Escape_Threshold_RhoC,0.376032,Hyper
,0.4996,0.40725400000000006,0.678855,0.492799,10.0,3.0,DSP,Escape_Threshold_RhoC,0.2716009999999999,Hyper
,0.4854,0.4193,0.643432,0.501,10.0,4.0,DSP,Escape_Threshold_RhoC,0.224132,Normal
,0.49159900000000006,0.451117,0.6030139999999999,0.497199,10.0,5.0,DSP,Escape_Threshold_RhoC,0.15189699999999995,Normal
,0.49660100000000007,0.46757200000000004,0.583204,0.5082,10.0,6.0,DSP,Escape_Threshold_RhoC,0.1156319999999999,Normal
,0.4944,0.488488,0.551866,0.5056,10.0,7.0,DSP,Escape_Threshold_RhoC,0.06337799999999999,Normal
,0.5172,0.50598,0.527905,0.488399,10.0,8.0,DSP,Escape_Threshold_RhoC,0.021924999999999972,Normal
,0.496,0.5201,0.517469,0.4898,10.0,9.0,DSP,Escape_Threshold_RhoC,-0.00263100000000005,Normal
,0.494199,0.54216,0.493553,0.4890000000000001,10.0,10.0,DSP,Escape_Threshold_RhoC,-0.048606999999999956,Normal
,0.49939999999999996,0.5473049999999999,0.47870200000000007,0.49539900000000003,10.0,11.0,DSP,Escape_Threshold_RhoC,-0.06860299999999986,Normal
,0.5141999999999999,0.5547960000000001,0.47352,0.5066,10.0,12.0,DSP,Escape_Threshold_RhoC,-0.08127600000000007,Normal
,0.499398,0.559555,0.45880300000000007,0.504999,10.0,13.0,DSP,Escape_Threshold_RhoC,-0.10075199999999995,Normal
,0.504399,0.57058,0.436448,0.48980000000000007,10.0,14.0,DSP,Escape_Threshold_RhoC,-0.13413199999999997,Normal
,0.5004,0.30618900000000004,0.7991860000000001,0.505401,15.0,1.0,DSP,Escape_Threshold_RhoC,0.492997,Hyper
,0.502001,0.359272,0.7305340000000001,0.504999,15.0,2.0,DSP,Escape_Threshold_RhoC,0.37126200000000015,Hyper
,0.5012,0.390952,0.6780170000000001,0.492,15.0,3.0,DSP,Escape_Threshold_RhoC,0.28706500000000007,Hyper
,0.49679999999999996,0.41054,0.6481760000000001,0.506401,15.0,4.0,DSP,Escape_Threshold_RhoC,0.23763600000000007,Normal
